cell_id,lat,lon,nearest_dist_km,is_estimated,Ward_No,Ward_Name,distance_to_ward
0,28.4,76.8,22.821,1,133,CHHAWLA,15963.545791078815
1,28.4,76.815385,21.366,1,133,CHHAWLA,15005.746802137335
2,28.4,76.830769,19.917,1,133,CHHAWLA,14190.76384732492
3,28.4,76.846154,18.477,1,133,CHHAWLA,13544.287549978346
4,28.4,76.861538,17.049,1,133,CHHAWLA,13091.394422917225
5,28.4,76.876923,15.635,1,133,CHHAWLA,12852.503974021727
6,28.4,76.892308,14.24,1,133,CHHAWLA,12760.145163807105
7,28.4,76.907692,12.869,1,133,CHHAWLA,12878.086330646924
8,28.4,76.923077,11.531,1,133,CHHAWLA,13218.746496274802
9,28.4,76.938462,10.24,1,133,CHHAWLA,13232.719044047104
10,28.4,76.953846,9.015,1,133,CHHAWLA,13250.736884514992
11,28.4,76.969231,7.888,1,133,CHHAWLA,13385.308682055616
12,28.4,76.984615,6.905,1,133,CHHAWLA,13722.225518194116
13,28.4,77.0,6.138,1,133,CHHAWLA,14255.223718671516
14,28.4,77.015385,5.618,1,175,AYA NAGAR,13132.750443399938
15,28.4,77.030769,4.327,1,175,AYA NAGAR,11601.744737161414
16,28.4,77.046154,3.226,1,175,AYA NAGAR,10128.94456609051
17,28.4,77.061538,2.289,1,175,AYA NAGAR,8744.049747102052
18,28.4,77.076923,0.813,1,175,AYA NAGAR,7495.715233142443
19,28.4,77.092308,0.784,0,175,AYA NAGAR,6463.70097423099
20,28.4,77.107692,2.258,1,175,AYA NAGAR,5726.634093509547
21,28.4,77.123077,3.572,1,175,AYA NAGAR,5030.66914839388
22,28.4,77.138462,2.722,1,175,AYA NAGAR,3490.309136968516
23,28.4,77.153846,2.567,1,175,AYA NAGAR,2125.663170794293
24,28.4,77.169231,3.209,1,175,AYA NAGAR,771.2502024743126
25,28.4,77.184615,4.305,1,175,AYA NAGAR,991.5356800302212
26,28.4,77.2,5.594,1,176,BHATI,1028.0968999156314
27,28.4,77.215385,6.97,1,176,BHATI,1214.0661344928967
28,28.4,77.230769,7.803,1,176,BHATI,1702.0284952964598
29,28.4,77.246154,6.313,1,176,BHATI,2424.487014710983
30,28.4,77.261538,4.832,1,176,BHATI,3322.086697494133
31,28.4,77.276923,3.373,1,176,BHATI,4307.57961756003
32,28.4,77.292308,1.982,1,176,BHATI,5649.25344228758
33,28.4,77.307692,1.007,1,176,BHATI,7132.471253058135
34,28.4,77.323077,1.447,1,176,BHATI,8655.349456562799
35,28.4,77.338462,2.664,1,176,BHATI,10234.56384138949
36,28.4,77.353846,4.078,1,204,MOLARBAND,11476.992025831114
37,28.4,77.369231,5.54,1,204,MOLARBAND,12213.527569503052
38,28.4,77.384615,7.02,1,202,MEETHEYPUR,13064.268801397551
39,28.4,77.4,8.508,1,202,MEETHEYPUR,13987.36786953118
40,28.412821,76.8,21.841,1,133,CHHAWLA,14692.638386510014
41,28.412821,76.815385,20.975,1,133,CHHAWLA,13645.924872383415
42,28.412821,76.830769,19.565,1,133,CHHAWLA,12744.277425708427
43,28.412821,76.846154,18.098,1,133,CHHAWLA,12020.25597769764
44,28.412821,76.861538,16.637,1,133,CHHAWLA,11507.538245396609
45,28.412821,76.876923,15.185,1,133,CHHAWLA,11235.020557841524
46,28.412821,76.892308,13.744,1,133,CHHAWLA,11137.55399545683
47,28.412821,76.907692,12.318,1,133,CHHAWLA,11272.484727861987
48,28.412821,76.923077,10.913,1,133,CHHAWLA,11660.148512478903
49,28.412821,76.938462,9.539,1,133,CHHAWLA,11611.605395309747
50,28.412821,76.953846,8.21,1,133,CHHAWLA,11628.816792635014
51,28.412821,76.969231,6.954,1,133,CHHAWLA,11781.209809208283
52,28.412821,76.984615,5.816,1,133,CHHAWLA,12160.241592791655
53,28.412821,77.0,4.881,1,133,CHHAWLA,12758.660027301356
54,28.412821,77.015385,4.283,1,175,AYA NAGAR,12536.43312271213
55,28.412821,77.030769,3.682,1,175,AYA NAGAR,10922.156480194975
56,28.412821,77.046154,2.29,1,175,AYA NAGAR,9342.833577376134
57,28.412821,77.061538,1.209,1,175,AYA NAGAR,7819.937800993557
58,28.412821,77.076923,1.389,1,175,AYA NAGAR,6393.650607280333
59,28.412821,77.092308,1.372,1,175,AYA NAGAR,5145.1386294139
60,28.412821,77.107692,2.523,1,175,AYA NAGAR,4234.718637710413
61,28.412821,77.123077,2.757,1,175,AYA NAGAR,3519.167425173803
62,28.412821,77.138462,1.501,1,175,AYA NAGAR,2965.6318111863043
63,28.412821,77.153846,1.197,1,175,AYA NAGAR,1267.9587966321676
64,28.412821,77.169231,2.267,1,175,AYA NAGAR,0.0
65,28.412821,77.184615,3.657,1,175,AYA NAGAR,0.0
66,28.412821,77.2,5.112,1,176,BHATI,0.0
67,28.412821,77.215385,6.59,1,176,BHATI,0.0
68,28.412821,77.230769,7.753,1,176,BHATI,219.63059960973663
69,28.412821,77.246154,6.251,1,176,BHATI,1145.284856404756
70,28.412821,77.261538,4.751,1,176,BHATI,1950.3476644693665
71,28.412821,77.276923,3.256,1,176,BHATI,3351.687298026296
72,28.412821,77.292308,1.777,1,176,BHATI,4865.884833125222
73,28.412821,77.307692,0.493,0,176,BHATI,6457.587849818359
74,28.412821,77.323077,0.958,0,176,BHATI,8093.644375525553
75,28.412821,77.338462,2.433,1,204,MOLARBAND,9365.819359467554
76,28.412821,77.353846,3.93,1,204,MOLARBAND,9993.4172175872
77,28.412821,77.369231,5.432,1,204,MOLARBAND,10818.962318997366
78,28.412821,77.384615,6.935,1,202,MEETHEYPUR,11679.457957432624
79,28.412821,77.4,8.303,1,202,MEETHEYPUR,12703.585272743285
80,28.425641,76.8,20.716,1,133,CHHAWLA,13497.286554703209
81,28.425641,76.815385,19.802,1,133,CHHAWLA,12349.67154242398
82,28.425641,76.830769,18.963,1,133,CHHAWLA,11345.471726043206
83,28.425641,76.846154,17.824,1,133,CHHAWLA,10525.667454009756
84,28.425641,76.861538,16.339,1,133,CHHAWLA,9936.123894773556
85,28.425641,76.876923,14.858,1,133,CHHAWLA,9619.189597785567
86,28.425641,76.892308,13.382,1,133,CHHAWLA,9514.894346010971
87,28.425641,76.907692,11.913,1,133,CHHAWLA,9672.487650750292
88,28.425641,76.923077,10.454,1,133,CHHAWLA,10121.61887975926
89,28.425641,76.938462,9.01,1,133,CHHAWLA,9990.903006273198
90,28.425641,76.953846,7.59,1,133,CHHAWLA,10006.826873671622
91,28.425641,76.969231,6.209,1,133,CHHAWLA,10181.47914999371
92,28.425641,76.984615,4.902,1,133,CHHAWLA,10616.388647658368
93,28.425641,77.0,3.745,1,133,CHHAWLA,11166.883853693991
94,28.425641,77.015385,2.924,1,133,CHHAWLA,11284.047615555315
95,28.425641,77.030769,2.757,1,175,AYA NAGAR,10452.360251280485
96,28.425641,77.046154,2.036,1,175,AYA NAGAR,8789.019962386597
97,28.425641,77.061538,0.601,0,175,AYA NAGAR,7149.109025332534
98,28.425641,77.076923,1.052,1,175,AYA NAGAR,5553.116308223638
99,28.425641,77.092308,2.525,1,175,AYA NAGAR,4053.490367642472
100,28.425641,77.107692,3.42,1,175,AYA NAGAR,2809.1234549686656
101,28.425641,77.123077,2.3,1,175,AYA NAGAR,2060.29048691576
102,28.425641,77.138462,0.813,0,175,AYA NAGAR,1435.9811664656177
103,28.425641,77.153846,0.581,0,175,AYA NAGAR,784.7053648908775
104,28.425641,77.169231,2.011,1,175,AYA NAGAR,0.0
105,28.425641,77.184615,3.504,1,175,AYA NAGAR,0.0
106,28.425641,77.2,5.004,1,176,BHATI,0.0
107,28.425641,77.215385,6.506,1,176,BHATI,0.0
108,28.425641,77.230769,7.962,1,176,BHATI,0.0
109,28.425641,77.246154,6.509,1,176,BHATI,0.0
110,28.425641,77.261538,5.086,1,176,BHATI,1079.1691461472828
111,28.425641,77.276923,3.728,1,176,BHATI,2712.4035517252714
112,28.425641,77.292308,2.54,1,176,BHATI,4390.22659863753
113,28.425641,77.307692,1.825,1,176,BHATI,6087.352170177604
114,28.425641,77.323077,1.791,1,204,MOLARBAND,7405.792089359533
115,28.425641,77.338462,2.424,1,204,MOLARBAND,7828.249948091849
116,28.425641,77.353846,3.615,1,204,MOLARBAND,8544.744888954448
117,28.425641,77.369231,4.979,1,202,MEETHEYPUR,9397.068977149404
118,28.425641,77.384615,6.406,1,202,MEETHEYPUR,10363.824210084586
