rank,source_id,source_type,source_name,Ward_Name,Ward_No,merged_sources,latitude,longitude,priority,impact,reach,peak_aqi,mean_aqi,confidence,basis,recommended_team,action,evidence,generated_at
1,CONSTRUCTION_96,Construction/Dust,Construction site - BHATI,BHATI,176,1,28.40445920325049,77.25819376238329,98.52759457556782,168.1012191033502,12,169.2,139.73333333333332,0.31666666666666665,proxy_influence_index,Dust Control Team,"Verify dust screens, water sprinkling and covered material storage","Construction site - BHATI; affects 12 cell(s); peak AQI 169; proxy influence index 86.0 - presence, not emissions; engine confidence 32%",2026-08-23T18:17:56+00:00
2,INTERSECTION_6174,Intersection,Road junction - AYA NAGAR,AYA NAGAR,175,1,28.430384600000004,77.00543150000001,98.49296129125779,41.53411939859992,4,173.8,120.7,0.305,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - AYA NAGAR; affects 4 cell(s); peak AQI 174; modelled contribution 29.19; engine confidence 30%,2026-08-23T18:17:56+00:00
3,INTERSECTION_6173,Intersection,Road junction - AYA NAGAR,AYA NAGAR,175,3,28.424240500000007,77.0002767,97.87467467873486,37.70652480510862,3,173.8,126.66666666666667,0.3,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - AYA NAGAR; affects 3 cell(s); peak AQI 174; modelled contribution 21.11; engine confidence 30%,2026-08-23T18:17:56+00:00
4,INDUSTRY_259,Industry,Industrial site - BHATI,BHATI,176,1,28.398277733941743,77.22981550219798,97.77151219911578,260.6898891142116,12,161.3,138.04999999999998,0.31583333333333335,proxy_influence_index,Industrial Compliance Team,Stack inspection and consent-to-operate verification,"Industrial site - BHATI; affects 12 cell(s); peak AQI 161; proxy influence index 131.8 - presence, not emissions; engine confidence 32%",2026-08-23T18:17:56+00:00
5,INTERSECTION_476376,Intersection,Road junction - MUNDAKA,MUNDAKA,30,2,28.76179280000001,76.8620695,97.42976252378818,65.48965396975454,10,151.7,127.64000000000001,0.306,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - MUNDAKA; affects 10 cell(s); peak AQI 152; modelled contribution 32.74; engine confidence 31%,2026-08-23T18:17:56+00:00
6,INTERSECTION_482726,Intersection,Road junction - GHAROLI,GHAROLI,216,2,28.650814,77.3623452,97.4254479027168,32.53458136266532,4,161.3,118.92500000000001,0.3,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - GHAROLI; affects 4 cell(s); peak AQI 161; modelled contribution 21.44; engine confidence 30%,2026-08-23T18:17:56+00:00
7,INTERSECTION_476342,Intersection,Road junction - KARALA,KARALA,29,2,28.7775241,76.8714666,97.19921497335591,40.21433547655565,12,151.7,127.53333333333332,0.3016666666666667,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - KARALA; affects 12 cell(s); peak AQI 152; modelled contribution 20.11; engine confidence 30%,2026-08-23T18:17:56+00:00
8,INTERSECTION_476341,Intersection,Road junction - KARALA,KARALA,29,1,28.7774398,76.8714225,97.13109865163729,39.26320326279346,11,151.7,125.74545454545455,0.3018181818181818,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - KARALA; affects 11 cell(s); peak AQI 152; modelled contribution 19.63; engine confidence 30%,2026-08-23T18:17:56+00:00
9,INTERSECTION_721782,Intersection,Road junction - MUNDAKA,MUNDAKA,30,4,28.7603203,77.0158272,97.0865610566674,42.617170902175324,7,151.7,128.28571428571428,0.3,modelled_pm25_contribution,Traffic Enforcement Team,Signal-timing review and anti-idling enforcement at the junction,Road junction - MUNDAKA; affects 7 cell(s); peak AQI 152; modelled contribution 21.31; engine confidence 30%,2026-08-23T18:17:56+00:00
10,INDUSTRY_138,Industry,Industrial site - DILSHAD COLONY,DILSHAD COLONY,240,1,28.73452689262828,77.31301202054338,97.04939004421156,113.55593694299674,18,161.4,131.0,0.34055555555555556,proxy_influence_index,Industrial Compliance Team,Stack inspection and consent-to-operate verification,"Industrial site - DILSHAD COLONY; affects 18 cell(s); peak AQI 161; proxy influence index 56.8 - presence, not emissions; engine confidence 34%",2026-08-23T18:17:56+00:00
